상품명,상품특징,대출신청자격,대출금액,대출기간,대출한도,원리금상환방법,인터넷대출,가입채널,대출신청,특례보증,대출금,통장자동대출,대출종류,대출신청시기,대출지급방법,대출금지급,상환방법,대출신청지점,대출대상주택,대출실행(지급),대출대상,대출실행(지급)시기,보험서비스,임차인,보증신청시기,신청자격,보증금액,보증기간,대상주택,인터넷보증,국민카드,KB국민카드,추가대출
KB 직장인든든 신용대출,"직장인이라면 신청 가능 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","재직기간 3개월 이상 당행 선정 우량 직장인 및 재직기간 6개월 이상 일반 직장인 ☞ 단, ""정규직 공무원(최종합격자 포함), 군인(중사 이상), 교사""는 재직기간 관계없음","최대 3억원 이내(단, 재직기간 1년 미만 사회초년생은 최대 5천만원 이내) - 종합통장자동대출은 최대 5천만원 이내 - 금융소외계층(최근 2년 이내 신용카드 실적 및 최근 3년 이내 대출실적 없는 고객)은 최대 3백만원 이내 기본한도 제공 ※ 대출한도는 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 직장인든든 신용대출(공무원/교직원),"정규직 공무원 및 교직원 대상 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","정규직 공무원(최종합격자 포함), 군인(장교 및 군무원), 교사, 재직기간 3개월 이상 교직원 ☞ 정규직 공무원, 군인, 교사는 재직기간 관계없음","최대 3억원 이내(단, 재직기간 1년 미만 사회초년생은 최대 5천만원 이내) - 종합통장자동대출은 최대 5천만원 이내 ※ 대출한도는 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 직장인든든 신용대출(금융인),"금융인을 위한 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","제1금융기관(시중은행, 특수은행, 외국계은행, 지방은행) 및 금융관련기관 중 금융감독원, 금융결제원, 금융연수원, 전국은행연합회, 신용보증기금(기술, 지역 포함)에 3개월 이상 재직중인 정규직 임직원","최대 3억원 이내(단, 재직기간 1년 미만 사회초년생은 최대 5천만원 이내) - 종합통장자동대출은 최대 5천만원 이내 ※ 대출한도는 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 직장인든든 신용대출(군인),"군인 고객님을 위한 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","군인(부사관, 장교, 군무원) - 부사관 중 하사는 재직기간 3개월 이상(중사 이상의 경우 재직기간 관계 없음)","최대 3억원 이내(단, 부사관은 최대 2억원 이내) - 종합통장자동대출은 최대 5천만원 이내 - 재직기간 1년 미만은 최대 5천만원 이내(단, 재직기간 1년 미만 부사관은 최대 3천만원 이내) ※ 대출한도는 신용평가결과에 따라 차등 적용됩니다.",및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB STAR CLUB 신용대출,"KB 국민은행과 거래하는 STAR CLUB 고객을 위한 우수고객 전용 상품입니다. '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.",KB 국민은행과 거래하는 골드스타 이상의 STAR CLUB 고객으로서 대출적격자로 판정된 고객,"최대 2억원 이내 - 일시상환(종합통장자동대출 포함) : 최대 1억원 이내(※종합통장자동대출은 최대 5천만원 이내) - 분할상환 : 최대 2억원 이내 ※ 대출한도는 ‘내맘대로 통장자동대출’ 기능 선택여부, 상환방법, 신용평가 결과 등에 따라 차등 적용됩니다.","및 상환 방법 일시상환(종합통장자동대출) : 1년(최장 10년까지 기한연장 가능) ※ 종합통장자동대출의 경우, 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원금균등/원리금균등 분할상환 : 최저 1년 이상 최장 5년 이내 ※ 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능 ※ 거치기간은 변경할 수 없으나, 거치기간 종료는 거치기간 중 가능",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 새희망홀씨Ⅱ,"소득금액 확인서류로 증빙된 소득뿐만 아니라 국민연금납부액, 건강보험료납부액 등에 의한 환산인정소득(한국주택금융공사 보금자리론 소득추정방식 준용) 기준으로 대출한도 산출 가능",개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 국내거주 국민으로서 연간소득 3천5백만원 이하[다만 NICE Score 744점 이하 또는 KCB Score 700점 이하인 경우에는 연간 (환산)소득 4천5백만원 이하] 이고 다음 각 항목 중 하나에 해당하는 고객 ①증빙소득서류 제출자 (직업 및 소득 확인서류 등으로 증빙된 소득) ②국민연금보험료 또는 지역건강보험료(세대주에 한함) 3개월 이상 정상 납부액 기준으로 소득금액이 산출되는 고객,,및 상환방법 대출기간 : 최저1년 이상 최장7년 이내 (거치기간 설정불가) 상환방법 : 원금균등 또는 원리금균등 분할상환,무보증대출 : 최대 3천만원 ※ 대출한도는 소득금액 또는 환산인정소득금액에 따라 차등 적용,"원금은 약정된 분할상환납입일에 균등분할상환하고, 이자는 원금상환방법과 동일한 월단위로 후취",,,,,,,,,,,,,,,,,,,,,,,,,,,
KB새희망홀씨 긴급생계자금,기존 보유 「KB새희망홀씨Ⅱ (KB새희망홀씨 포함)」 대출을 성실상환 중인 서민을 위한 긴급생계자금 지원 대출상품,개인신용평가시스템(CSS)에 의해 대출적격자로 판정된 국내거주 국민으로서 연간소득 3천5백만원 이하[다만 외부신용등급(NICE 또는 KCB)이 6~10등급인 경우 연간소득 4천5백만원 이하]이고 다음 각 항목에 모두 해당하는 고객 (1)기존 보유 「KB새희망홀씨Ⅱ (KB새희망홀씨 포함)」 대출을 1년이상 상환중인 고객 중 최근 1년간 누적 연체일수가 10일 이하인 고객 (2)「KB새희망홀씨 긴급생계자금」을 보유하지 않은 고객(1인 1계좌만 가능) ※ 재직 및 소득확인서류 제출 생략,최대 5백만원 이내 ※대출한도는 CSS등급 및 상환기간에 따라 차등 적용적용됩니다.,및 상환 방법 대출기간 : 최저1년이상 최장5년 이내 (월 단위) ※ 대출기간의 30%범위 내에서 최장 12개월까지 거치기간 운영가능 상환방법 : 원리금균등 분할상환 또는 원금균등 분할상환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 급여이체신용대출,"당행 급여이체 중인 고객을 대상으로 추가 우대금리를 부여해 주는 신용대출상품 '내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","개인신용평가(CSS)에 의해 대출적격자로 판정된 고객 중 대출신청일 현재 동일직장 1년 이상 재직 중이며, KB국민은행과 급여이체 대행계약을 체결한 업체로부터 대출신청월 또는 직전 월 기준 현재 1회 이상 급여이체 실적이 있는 고객 다만, 개인사업자, 사업소득원천징수 대상자, 연금이체자(국민연금, 군인연금, 사학연금, 공무원연금 등) 등은 대출대상 제외",무보증최고 1억5천만원 이내 (종합통장자동대출 최고 5천만원 이내) ※대출한도는 신용평가결과에 따라 차등 적용됩니다.,및 상환 방법 일시상환(종합통장자동대출 포함) : 1년(최장 10년이내 기한연장 가능) ※ 종합통장자동대출의 경우 아래 중 선택 ① 일반방식 한도거래대출(종합통장자동대출) ② 약정한도 증감방식 한도거래대출(내맘대로통장자동대출) 원(리)금균등분할상환 : 최저 1년~최장 5년 이내 - 대출기간의 30% 범위 내에서 최장 12개월까지 거치기간 운용 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB i-star 직장인 신용대출(본부승인대출),KB 국민은행에서 우량업체 신용대출로 승인된 대상기업으로 임직원대출 협약을 맺은 기업체 임직원을 대상으로 대출한도 및 대출금리를 우대해 주는 신용대출,우량업체 신용대출 대상기업에 재직중인 임직원,"업체별 승인내용에 의하여 결정(단, 종합통장자동대출의 경우 최대한도 5천만원 이내로 운영) ※대출한도는 신용평가결과에 따라 차등 적용",및 상환 방법 업체별 승인내용에 의하여 결정 ☞ 일시상환/원(리)금 균등분할상환,,,"신청시 유의사항 구분, 기타 대출신청방법 *인터넷대출-국민은행 홈페이지 *스마트폰-KB스타뱅킹,KB스마트대출(www.kbsmartloan.com) 대출신청가능시간 * 24시간(토요일,공휴일 포함) * 시스템 점검에 따른 거래제한 시간(23:00~00:10)은 대출신청 불가 본인신청 확인절차 *인증 + 통신사 본인인증 확인 대출신청가능금액 * 업체별 승인한도 제출서류 (발급일로부터 1개월 이내) *스크린 스크랩핑을 통한 서류제출(08:00~22:00) *다만, 스크린 스크랩핑을 통한 서류제출이 불가능한 경우 사진촬영을 통한 아래 서류 제출 ① 건강보험 자격득실확인서(직장가입자) ☞ 대출심사 단계에서 '건강보험자격득실확인서(직장가입자)'로 대출대상 자격요건 확인이 어려운 경우,'재직증명서'등의 심사서류를 추가로 제출 ② 건강/장기요양보험료 납부확인서(최근 12개월) ③ 국세청 홈택스 발급 소득금액증명(근로소득자용) 기 타 *「인터넷대출불가등록」신청고객은 인터넷(스마트폰)대출이 불가능합니다. * 특별고용지원업종에 해당하는 사업장의 근로자께서는 가까운 영업점을 통해 대출신청해 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,,,,,,,
KB국민ONE대출,입증소득 및 재직증빙이 없어도 당행 거래실적에 따라 신용평가시스템(CSS) 평가 후 산출되는 CSS 평가 등급별로 무보증 대출한도가 부여되는 신용대출 상품,다음 중 하나의 조건에 해당하는 고객 ☞ 당행 1년이상 거래고객(고객정보등록일 기준) 중 거래실적 우수고객 ☞ 「KB국민ONE통장」가입고객 중 거래실적 우수고객으로 다음 거래 조건을 모두 충족하는 고객 ① 자동이체 4건 이상(아파트관리비 자동이체 필수이며 계좌간 자동이체는 제외) ② KB국민ONE통장 가입고객 : 최근 6개월 총수신 평균잔액 50만원 이상 등 ※거래실적 우수고객 ＊ 당행 1년이상 거래고객 : 최근6개월 총수신 평균잔액 300만원 이상 등 ＊ KB국민ONE통장 가입고객 : 최근 6개월 총수신 평균잔액 50만원 이상 등,무보증최고 2천만원 이내 (KB국민ONE통장 가입고객 중 거래실적 우수고객 자격으로 대출을 받으시는 경우에는 최고 5백만원) ※대출한도는 신용평가결과에 따라 차등 적용됩니다.,및 상환 방법 일시상환(종합통장자동대출 포함): 1년(최장10년까지 기한연장 가능) 원금균등/원리금균등 분할상환: 최저1년이상 최장 5년이내 ※KB국민ONE통장 가입고객 중 거래실적 우수고객 자격으로 대출을 받으시는 경우에는 종합통장자동대출만 가능합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
